id,title,journal,month,year
261,Evolutionary Inverse Material Identification: Bespoke Characterization of Soft Materials Using a Metaheuristic Algorithm,Front Rob AI,Jan,2022
262,Magnetically Actuated Continuum Medical Robots: A Review,Adv Intel Sys,Mar,2023
263,Soft Mechanosensing via 3D Printing: A review,Adv Intel Sys,Feb,2023
264,Perspective for soft robotics: the field�s past and future,Bioinsp Biomim,Mar,2023
265,Variable Stiffness Technologies for Soft Robotics: A Comparative Approach for the STIFF-FLOP Manipulator,Actuators,Jan,2023
266,"Towards a Soft Science of Soft Robots, A Call for a Place for Aesthetics in Soft Robotics Research",ACM Trans Human Robot Intract,Mar,2023
267,Photo-Responsive Bilayer Soft Actuators Synergic Fluorescence and Shape Change Towards Biomimetic Untethered Camouflage Robots,Adv Optic Mater,Feb,2023
268,Programming 3D Curves with Discretely Constrained Cylindrical Inflatables,Adv Mater,Mar,2023
269,Design of Shape Actively Controllable Planar Pneumatic Kirigami Actuator,IEEE RA-L,Mar,2023
270,Flexible and Slim Device Switching Air Blowing and Suction by a Single Airflow Control,IEEE RA-L,Mar,2023
271,"Design, Fabrication, and Characterization of a Helical Adaptive Multi-Material MicroRobot (HAMMR)",IEEE RA-L,Feb,2023
272,Fast Actuating Multi-Helically Heated Twisted and Coiled Polymer Actuator,IEEE RA-L,Jan,2023
273,Inflated Bendable Eversion Cantilever Mechanism With Inner Skeleton for Increased Stiffness,IEEE RA-L,Jan,2023
274,Biodegradable electrohydraulic actuators for sustainable soft robots,Science Advances,Mar,2023
275,An earthworm-like modular soft robot for locomotion in multi-terrain environments,Nature,Jan,2023
276,A bioadhesive robot to activate muscles,Nature,Feb,2023
277,Self-folding soft-robotic chains with reconfigurable shapes and functionalities,Nature,Mar,2023
278,Three-dimensional ori-kirigami metamaterials with multistability,Physical Review,Mar,2023
279,Kirigami-Inspired 3D Printable Soft Pneumatic Actuators with Multiple Deformation Modes for Soft Robotic Applications,SoRo Journal,Feb,2023
280,Modular Soft Robot with Origami Skin for Versatile Applications,SoRo Journal,Mar,2023
281,Strong Reliable Electrostatic Actuation Based on Self-Clearing Using a Thin Conductive Layer,SoRo Journal,Feb,2023
282,Design and Control of Lightweight Bionic Arm Driven by Soft Twisted and Coiled Artificial Muscles,SoRo Journal,Feb,2023
283,Anisotropic Contraction in a Magnetically Hard but Mechanically Ultra-Soft Foam for Precise Drug Delivery,Adv Mater Tech,Jan,2023
284,On variable stiffness of flexible parallel electroadhesive structures,Smart Mater Struct,Mar,2023
285,Bending-Sensitive Optical Waveguide Sensor With Carbon-Fiber Layer for Monitoring Grip Strength,IEEE Transactions,Mar,2023
286,Stretchable e-skin and transformer enable high-resolution morphological reconstruction for soft robots,Nature,Feb,2023
287,Soft wearable flexible bioelectronics integrated with an ankle-foot exoskeleton for estimation of metabolic costs and physical effort,Nature,Jan,2023
288,A Skin-Like Soft Compression Sensor for Robotic Applications,SoRo Journal,Mar,2023
289,An audio-tactile interface based on dielectric elastomer actuators,Smart Mater Struct,Feb,2023
290,"Fully 3D-Printed, Stretchable, and Conformable Haptic Interfaces",Adv FUnc Mater,Feb,2023
291,3D Printing of Small-Scale Soft Robots with Programmable Magnetization,Adv Func Mater,Jan,2023
292,Inexpensive monolithic additive manufacturing of silicone structures for bio-inspired soft robotic systems,Eng Res Exp,Feb,2023
293,Centimeter-Scale Underwater Robot With High-Speed Inspired by Jellyfish,IEEE RA-L,Mar,2023
294,Magnetic-field-induced propulsion of jellyfish-inspired soft robotic swimmers,Physical Review,Jan,2023
295,"https://onlinelibrary,wiley,com/doi/10,1002/admt,202201813",Adv Mat Tech,Mar,2023
296,A Visible and Near-Infrared Light-Fueled Omnidirectional Twist-Bend Crawling Robot,Adv Func Mater,Feb,2023
297,Octopus-Inspired Suction Cup Array for Versatile Grasping Operations,IEEE RA-L,Mar,2023
298,Large Torsion Thin Artificial Muscles Tensegrity Structure for Twist Manipulation,IEEE RA-L,Jan,2023
299,A Multi-DoF Exoskeleton Haptic Device for the Grasping of a Compliant Object Adapting to a User�s Motion Using Jamming Transitions,IEEE Transactions,Jan,2023
300,Soft robotic finger with variable effective length enabled by an antagonistic constraint mechanism,Smart Mater Struct,Mar,2023
301,Inspired by Physical Intelligence of an Elephant Trunk: Biomimetic Soft Robot With Pre-Programmable Localized Stiffness,IEEE RA-L,Mar,2023
302,Caterpillar-inspired soft crawling robot with distributed programmable thermal actuation,Science Advances,Mar,2023
303,A Gecko-Inspired Robot with a Flexible Spine Driven by Shape Memory Alloy Springs,SoRo Journal,Feb,2023
304,Soft Robots for Cluttered Environments Based on Origami Anisotropic Stiffness Structure (OASS) Inspired by Desert Iguana,Adv Intel Sys,Mar,2023
305,Analysis modeling and experiment of bionic winding soft actuator inspired by plant tendrils,Smart Mater Struct,Feb,2023
306,"A High-Strength, Highly-Flexible Robotic Strap for Harnessing, Lifting, and Transferring Humans",IEEE RA-L,Feb,2023
307,Soft robotic patient-specific hydrodynamic model of aortic stenosis and ventricular remodeling,Science Robotics,Feb,2023
308,Development of a comfort suit-type soft-wearable robot with flexible artificial muscles for walking assistance,Nature,Mar,2023
309,A Lower Limb Rehabilitation Assistance Training Robot System Driven by an Innovative Pneumatic Artificial Muscle System,SoRo Journal,Feb,2023
310,"Study on the effects of shoe cushioning on trail-running: perception, bench test and biomechanical approach",Foot Sci,Feb,2023
311,Design and Modeling of a Hybrid Soft Robotic Manipulator With Compliant Mechanism,IEEE RA-L,Feb,2023
312,Dynamic Control of Soft Robotic Arm: An Experimental Study,IEEE RA-L,Feb,2023
313,Asymmetric Continuum Robots,IEEE RA-L,Jan,2023
314,The Folded Pneumatic Artificial Muscle (foldPAM): Towards Programmability and Control via End Geometry,IEEE RA-L,Jan,2023
315,Modelling of Tendon-Driven Continuum Robot Based on Constraint Analysis and Pseudo-Rigid Body Model,IEEE RA-L,Jan,2023
316,An Improved Koopman-MPC Framework for Data-Driven Modeling and Control of Soft Actuators,IEEE RA-L,Jan,2023
317,Position and Orientation Control of Multisection Magnetic Soft Microcatheters,IEEE Transactions,Jan,2023
318,Dynamic response prediction of hydraulic soft robotic arms based on LSTM neural network,Sage,Feb,2023
319,Soft Robot Proprioception Using Unified Soft Body Encoding and Recurrent Neural Network,SoRo Journal,Mar,2023
320,Macro Fiber Composite-Actuated Soft Robotic Fish: A Gray Box Model- Predictive Motion Planning Strategy Under Limited Actuation,SoRo Journal,Mar,2023
321,Optimal Control of Dielectric Elastomer Actuated Multibody Dynamical Systems,SoRo Journal,Mar,2023
322,Adaptive Actuation of Magnetic Soft Robots Using Deep Reinforcement Learning,Adv Intel Sys,Jan,2023
323,Design and Modeling Framework for DexTeR: Dexterous Continuum Tensegrity Manipulator,ASME J Mech Robot,Mar,2023
324,Tensegrity metamaterials for soft robotics,Sci Robot,Aug,2020
325,Speedy soft robots,Nat Rev Mater,Sep,2020
326,3D-printed multifunctional materials enabled by artificial- intelligence-assisted fabrication technologies,Nat Rev Mater,Oct,2020
327,"Compliant gripper design, prototyping, and modeling using screw theory formulation",Int J Robot Res,Aug,2020
328,"A multimodal, enveloping soft gripper: Shape conformation, bioinspired adhesion, and expansion-driven suction",IEEE Trans Robot�,Sep,2020
329,Hand closure model for planning top grasps with soft robotic hands,Int J Robot Res,Oct,2020
330,An 88-milligram insect-scale autonomous crawling robot driven by a catalytic artificial muscle,Sci Robot,Aug,2020
331,Untethered and ultrafast soft-bodied robots,Comms Mater,Sep,2020
332,Light-steered locomotion of muscle-like hydrogel by self-coordinated shape change and friction modulation,Nat Commun,Oct,2020
333,Self healable neuromorphic memtransistor elements for decentralized sensory signal processing in robotics,Nat Commun,Aug,2020
334,Triboelectric nanogenerator sensors for soft robotics aiming at digital twin applications,Nat Commun,Oct,2020
335,In-air fast response and high speed jumping and rolling of a light- driven hydrogel actuator,Nat Commun,Aug,2020
336,On the motion/stiffness decoupling property of articulated soft robots with application to model-free torque iterative learning control,Int J Robot Res,Aug,2020
337,Surface actuation and sensing of a tensegrity structure using robotic skins,Soft Robotics,Sep,2020
338,Untethered feel?through haptics using 18?�m thick dielectric elastomer actuators,Adv Funct Mater,Oct,2020
339,Understanding the interaction between older adults and soft service robots: Insights from robotics and the technology acceptance model,AIS Trans Hum-Comput Interact,Sep,2020
340,3D-printed programmable tensegrity for soft robotics,Sci Robot,Aug,2020
341,Integrating chemical fuels and artificial muscles for untethered microrobots,Sci Robot,Aug,2020
342,Roboticizing fabric by integrating functional fibers,"Proc Natl Acad Sci U,S,A,",Aug,2020
343,Reprogrammable shape morphing of magnetic soft machines,Sci Adv,Sep,2020
344,New development of the dynamic modeling and the inverse dynamic analysis for flexible robot,Int J Adv Robot Syst,Aug,2020
345,Minuscule RoBeetle turns liquid methanol into muscle power,IEEE Spectrum,Aug,2020
346,Yale�s smart robotic fabric is as flexible as you need it to be,Engadget,Sep,2020
347,Tubular robot maneuvers through the body,ASME,Oct,2020
348,Soft robotic glove boosts workers� grip,ASME,Oct,2020
349,Ultragentle manipulation of delicate structures using a soft robotic gripper,"Sci, Robot",Aug,2019
350,Untethered soft robotic matter with passive control of shape morphing and propulsion,"Sci, Robot",Aug,2019
351,Ferromagnetic soft continuum robots,"Sci, Robot",Aug,2019
352,Soft mobile robot inspired by animal-like running motion,"Sci, Rep,",Oct,2019
353,Multifunctional metallic backbones for origami robotics with strain sensing and wireless communication capabilities,"Sci, Robot",Aug,2019
354,Materials tactile logic via innervated soft thermochromic elastomers,"Nat, Commun,",Sep,2019
355,Programming curvilinear paths of flat inflatables,Proc Natl Acad Sci,Aug,2019
356,Multi-stimuli-responsive programmable biomimetic actuator,"Nat, Commun,",Sep,2019
357,Electrically controlled liquid crystal elastomer�based soft tubular actuator with multimodal actuation,"Sci, Adv,",Oct,2019
358,Design and characterization of artificial muscles from wedge-like pneumatic soft modules,"Sens, Actuator A-Phys",Oct,2019
359,An actuatable soft reservoir modulates host foreign body response,"Sci, Robot",Aug,2019
360,A soft matter computer for soft robots,"Sci, Robot",Aug,2019
361,Stretchable elastic synaptic transistors for neurologically integrated soft engineering systems,"Sci, Adv,",Oct,2019
362,Stretchy wearable patch allows two-way communication with robots,IEEE Spectrum,Aug,2019
363,Scientists made a robotic hand so soft it can handle a jelly fish,InterestingEngineering,Aug,2019
364,Soft self-healing materials for robots that cannot be destroyed,IEEE Spectrum,Sep,2019
365,Shipboard design and fabrication of custom 3D-printed soft robotic manipulators for the investigation of delicate deep-sea organisms,PLoS ONE,Aug,2018
366,Thrust force characterization of free-swimming soft robotic jellyfish,"Bioinspiration, Biomim,",Sep,2018
367,OmniSkins: Robotic skins that turn inanimate objects into multifunctional robots,Science Robotics,Sep,2018
368,Online reconfiguration of a variable-stiffness actuator,"IEEE/ASME Trans, Mechatronics",Aug,2018
369,A soft artificial muscle driven robot with reinforcement learning,"Sci, Rep,",Sep,2018
370,A soft active origami robot,Extreme Mechanics Letters,Oct,2018
371,Two-wavelength infrared responsive hydrogel actuators containing rare-earth photothermal conversion particles,"Sci, Rep,",Sep,2018
372,Stretchable electronics on another level,"Nat, Electron,",Aug,2018
373,Walking and running with passive compliance: Lessons from engineering: A live demonstration of the ATRIAS Biped,"IEEE Robot, Autom, Mag",Sep,2018
374,Morphological intelligence counters foot slipping in the desert locust and dynamic robots,Proc Natl Acad Sci,Aug,2018
375,How morphological development can guide evolution,"Sci, Rep,",Sep,2018
376,Bioinspired 3D structures with programmable morphologies and motions,"Nat, Commun,",Sep,2018
377,A quasi-static model for studying physical interaction between a soft robotic digit and a human finger,,,2018
378,3D printed intelligent robotic fish helps underwater exploration,"3Ders,org",Aug,2018
379,Soft multi-functional robots get really small,Robohub,Aug,2018
380,Smarty pants: Robot trousers could keep the elderly mobile,BBC News,Sep,2018
381,Flexible sensor encodes tactile stimuli into physiological signals,EEnews,Sep,2018
382,A new spin for soft micro-actuators,Robohub,Sep,2018
383,Graphene printing technique �silk screens� flexible electronics,IEEE Spectrum,Oct,2018
384,Control space reduction and real-time accurate modelling of continuum manipulators using Ritz and Ritz-Galerkin method,IEEE RA-L,Aug,2017
385,A biorobotic adhesive disc for underwater hitchhiking inspired by the remora suckerfish,Science Robotics,Sep,2017
386,Dynamical analysis and development of a biologically inspired SMA caterpillar robot,"Bioinspir, Biomim,, Sept",,2017
387,Inorganic semiconducting materials for flexible and stretchable electronics,"npj Flexible Electronics, Sept",,2017
388,Wrin�Tac: Tactile sensing system with wrinkle�s morphological change,"IEEE Trans, Ind, Informat,, Oct",,2017
389,New soft robots really suck: Vacuum-powered systems empower diverse capabilities,Science Robotics,Aug,2017
390,Elastic inflatable actuators for soft robotic applications,"Adv, Mater,",Sep,2017
391,Soft material for soft actuators,"Nat, Commun,, Sept",,2017
392,Multiple-degrees-of-freedom dielectric elastomer actuators for soft printable hexapod robot,"Sens, Actuators A Phys,, Oct",,2017
393,Self-healing soft pneumatic robots,Science Robotics,Aug,2017
394,Artificial Manduca sexta forewings for flapping-wing micro aerial vehicles: how wing structure affects performance,"Bioinspir, Biomim,, Sept",,2017
395,Variable stiffness actuators: Review on design and components,"IEEE/ASME Trans, Mechatronics",Oct,2016
396,Verification of throwing operation by a manipulator with variable viscoelastic joints with straight-fiber-type artificial muscles and magnetorheological brakes,"Adv, Robotics",Aug,2016
397,Human-like compliant locomotion: State of the art of robotic implementations,"Bioinspir, Biomim,",Aug,2016
398,From biological cilia to artificial flow sensors: Biomimetic soft polymer nanosensors with high sensing performance,"Sci, Rep,",Sep,2016
399,Stretchable materials for robust soft actuators towards assistive wearable devices,"Sci, Rep,",Sep,2016
400,Interactions between dielectric elastomer actuators and soft bodies,Soft Robotics,Sep,2016
401,A magnetic resonance compatible soft wearable robotic glove for hand rehabilitation and brain imagin g,IEEE Trans Neural Syst Rehabil Eng,Aug,2016
402,Highly-stretchable 3D-architected mechanical metamaterial s,"Sci, Rep,",Sep,2016
403,Stable propagation of mechanical signals in soft media using stored elastic energy,"Proc, Natl, Acad, Sci,",Aug,2016
404,"Artificial metamorphosis: Evolutionary design of transforming, soft- bodied robots",Artificial Life,Sep,2016
405,A biologically inspired soft robotic hand using chopsticks for grasping tasks,,,2016
406,Robot octopus points the way to soft robotics with eight wiggly arms,IEEE Spectrum,Aug,2016
407,Festo�s fantastical flying robots,IEEE Spectrum,Aug,2016
408,"Pneumatic octopus is first soft, solo robot",BBC News,Aug,2016
409,Alighting on soft robot rays,Nature Biotechnology: News & Views,Sep,2016
410,Engineers work to improve that electric fee l,Chemical & Engineering News,Oct,2016
411,Picking up a soft 3D object by �feeling� the grip,"Int, J, Robot, Res,, Sept",,2015
412,A biomimetic underwater vehicle actuated by waves with ionic polymer�metal composite soft sensor,"Bioinspir, Biomim,, Sept",,2015
413,On the energetics of quadrupedal running: predicting the metabolic cost of transport via a flexible-torso model,"Bioinspir, Biomim,, Sept",,2015
414,Texture recognition and localization in amorphous robotic skin,"Bioinspir, Biomim,, Sept",,2015
415,Rapid manufacture of novel variable impedance robots,"J, Mech, Robot,, Aug",,2015
416,Amplifying the response of soft actuators by harnessing snap-through instabilities,"PNAS, Sept",,2015
417,Modular soft mechatronic manipulator for minimally invasive surgery (MIS): overall architecture and development of a fully integrated soft module,"Meccanica, Sept",,2015
418,Features in geometric receiver shapes modelling bat-like directivity patterns,"Bioinspir, Biomim,, Sept",,2015
419,Robust real time material classification algorithm using soft three axis tactile sensor: Evaluation of the algorithm,,,2015
420,Inflatable graspers let robots �handle with care�,"Gizmag,com, Sept",,2015
421,Robot moves when squished,"Nature � Research Highlights, Oct",,2015
422,Robotics and neuroscience,"Curr, Biol, Sept",,2014
423,On the visual deformation servoing of compliant objects: Uncalibrated control methods and experiments,"Int, J, Robot Res,, Sept",,2014
424,Periodic spring�mass running over uneven terrain through feedforward control of landing conditions,"Bioinspir, Biomim,",Aug,2014
425,"A robotic crawler exploiting directional frictional interactions: experiments, numerics and derivation of a reduced model","Proc, R, Soc, A, Sept",,2014
426,Active elastic dimers: Cells moving on rigid tracks,"Phys, Rev, E, Sept",,2014
427,A simple running model with rolling contact and its role as a template for dynamic locomotion on a hexapod robot,"Bioinspir, Biomim,, Oct",,2014
428,Sidewinding with minimal slip: Snake and robot ascent of sandy slopes,"Science, Oct",,2014
429,Locomotion of microorganisms near a no-slip boundary in a viscoelastic fluid,"Phys, Rev, E, Oct",,2014
430,The feel of MEMS barometers: Inexpensive and easily customized tactile array sensors,"IEEE Robot, Automat, Mag,, August",,2014
431,Highly deformable liquid-state heterojunction sensors,"Nat, Comunn, Sept",,2014
432,Soft machines made like Lego,Nature,Aug,2014
433,Dielectric elastomer actuators for octopus inspired suction cups,"Bioinspir, Biomim,, Sept",,2014
434,Soft robotic glove for combined assistance and at-home rehabilitation,"Robot, Auton, Syst,, Sept",,2014
435,Human-robot skills transfer interfaces for a flexible surgical robot,"Comput, Meth, Prog, Bio,, Sept",,2014
436,Exploiting short-term memory in soft body dynamics as a computational resource,"J, R, Soc, Interface, Sept",,2014
437,"Three-dimensionally deformable, highly stretchable, permeable, durable and washable fabric circuit boards","Proc, R, Soc, A, Sept",,2014
438,Conference Papers,,,2014
439,"Graphene rubber bands: flexible, low-cost body sensors","KurzweilAI, August",,2014
440,"A stretchable, light-up surface inspired by squid skin","Wired, Sept",,2014
441,GelSight sensor measures deformation of flexible manipulator surface,"Robohub, Sept",,2014
442,�Active clothing� for soft robots,"KurzweilAI, Sept",,2014
443,Freaky soft robot walks through fire and ice,"IEEE Spectrum, Sept",,2014
444,Soft robots,Current Biology,Aug,2013
445,Soft-robotics [TC Spotlight],"IEEE Robot, Autom, Mag,, Sept",,2013
446,A bio-inspired study on tidal energy extraction with flexible flapping wing,"Bioinspir, Biomim,",Aug,2013
447,True-slime-mould-inspired hydrostatically coupled oscillator system exhibiting versatile behaviours,"Bioinspir, Biomim,",Aug,2013
448,Animal biomechanics: a new silent partner in the control of motion,Current Biology,Aug,2013
449,Reversible patterning and actuation of hydrogels by electrically assisted ionoprinting,"Nat Commun,",Aug,2013
450,Carbon nanotubes on a spider silk scaffold,"Nat Commun,",Sep,2013
451,"Popping, locking robots",Nature,Nov,2021
452,Soft actuators for real-world applications,Nature,Nov,2021
453,Soft Robots for Ocean Exploration and Offshore Operations: A Perspective,SoRo Journal,Dec,2021
454,From Theoretical Work to Clinical Translation: Progress in Concentric Tube Robots,Annual Rev,Oct,2021
455,A Data-Driven Review of Soft Robotics,Adv Intel Sys,Dec,2021
456,From Bioinspiration to Computer Generation: Developments in Autonomous Soft Robot Design,Adv Intel Sys,Oct,2021
457,A Simple Free-Fold Test to Measure Bending Stiffness of Slender Soft Actuators,IEEE RA-L,Oct,2021
458,Thin Piezoelectric Mobile Robot Using Curved Tail Oscillation,IEEE Access,Oct,2021
459,"Design, modeling and evaluation of a millimeter-scale SMA bending actuator with variable length",Sage Journals,Sep,2021
460,Reprogrammable soft actuation and shape-shifting via tensile jamming,Science,Oct,2021
461,"Legless soft robots capable of rapid, continuous, and steered jumping",Nature,Dec,2021
462,Photodriven Self-Excited Hydrogel Oscillators,Physical Review,Jan,2022
463,A Shapeshifting Ferrofluidic Robot,SoRo Journal,Dec,2021
464,Performance Enhancement of Soft Nanotextured Thermopneumatic Actuator by Incorporating Silver Nanowires into Elastomer Body,SoRo Journal,Dec,2021
465,An Air Recirculation System Based on Bioinspired Soft Re-Air Valve for Highly Efficient Pneumatic Actuation,SoRo Journal,Oct,2021
466,Biohybrid Variable-Stiffness Soft Actuators that Self-Create Bone,Adv Mat,Dec,2021
467,Cooling-Accelerated Nanowire-Nitinol Hybrid Muscle for Versatile Prosthetic Hand and Biomimetic Retractable Claw,Adv Func Mat,Dec,2021
468,Reconfigurable shape-morphing flexible surfaces realized by individually addressable photoactuator arrays,Smart Mat Struct,Nov,2021
469,Individual deformability compensation of soft hydraulic actuators through iterative learning-based neural network,Bioinsp Biomim,Nov,2021
470,Bio-inspired soft bistable actuator with dual actuations,Smart Mat Struct,Oct,2021
471,Pop-up cookie molds: self-folding elastomer sheets using thermal expansion of embedded air chambers,Smart Mat Struct,Oct,2021
472,Thermo- and Mechanochromic Camouflage and Self-Healing in Biomimetic Soft Actuators Based on Liquid Crystal Elastomers,Angewandte Chemie,Dec,2021
473,Stretchable Zn-Ion Hybrid Battery with Reconfigurable V2CTx and Ti3C2Tx MXene Electrodes as a Magnetically Actuated Soft Robot,Adv Energy Mat,Dec,2021
474,Light-Fueled Climbing of Monolithic Torsional Soft Robots via Molecular Engineering,Adv Intel Sys,Oct,2021
475,Vertebraic Soft Robotic Joint Design With Twisting and Antagonism,IEEE RA-L,Nov,2021
476,Development of Topology Optimized Bending-Twisting Soft Finger,ASME J Mech Robot,Dec,2021
477,Peeling in electroadhesion soft grippers,Extreme Mech Lett,Jan,2022
478,A stretchable and strain-unperturbed pressure sensor for motion interference�free tactile monitoring on skins,Science,Nov,2021
479,Miniaturized Circuitry for Capacitive Self-Sensing and Closed-Loop Control of Soft Electrostatic Transducers,SoRo Journal,Dec,2021
480,Texture Discrimination with a Soft Biomimetic Finger Using a Flexible Neuromorphic Tactile Sensor Array That Provides Sensory Feedback,SoRo Journal,Oct,2021
481,Flexible Electronics and Devices as Human-Machine Interfaces for Medical Robotics,Adv Mat,Dec,2021
482,Curvature sensing of a soft robot based on conductive foam,PAMM,Dec,2021
483,The Integration of Sensing and Actuating based on a Simple Design Fiber Actuator towards Intelligent Soft Robots,Adv Mat Tech,Nov,2021
484,Compact reconfigurable kirigami,Physical Review,Oct,2021
485,Increased Longevity and Pumping Performance of an Injection Molded Soft Total Artificial Heart,SoRo Journal,Oct,2021
486,Freeform Liquid 3D Printing of Soft Functional Components for Soft Robotics,ACS Appl Mater Interface,Dec,2021
487,Novel shape-lockable self-propelling robot with a helical mechanism and tactile sensing for inspecting the large intestine,Smart Mat Struct,Nov,2021
488,Free swimming of a squid-inspired axisymmetric system through jet propulsion,Bioinp Biomim,Nov,2021
489,A biomimetic fish finlet with a liquid metal soft sensor for proprioception and underwater sensing,Bioinsp Biomim,Oct,2021
490,AUV Buoyancy Control With Hard and Soft Actuators,IEEE Cont Sys Lett,Dec,2021
491,Sensor Embedded Soft Fingertip for Precise Manipulation and Softness Recognition,IEEE RA-L,Sep,2021
492,Circular Shell Gripper for Handling Food Products,SoRo Journal,Oct,2021
493,Modeling of a bio-inspired soft arm with semicircular cross section for underwater grasping,Smart Mat & Struct,Nov,2021
494,Enhancing interaction performance of soft pneumatic-networks grippers by skeleton topology optimization,Science China Technological Sciences,Nov,2021
495,Ultrasound-activated ciliary bands for microrobotic systems inspired by starfish,Nature,Nov,2021
496,A Layer Jamming Soft Glove for Hand Tremor Suppression,IEEE Transactions,Dec,2021
497,Guided Soft Actor Critic: A Guided Deep Reinforcement Learning Approach for Partially Observable Markov Decision Processes,IEEE Access,Nov,2021
498,Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control,IEEE Transactions on Human- Machine Systems,Dec,2021
499,Motion planning of a fish-like piezoelectric actuated robot using model-based predictive control,Sage Journals,Oct,2021
500,Asymptotic softness of a laterally confined sheet in a pressurized chamber,Physical Review,Nov,2021
501,Energy-Based Abstraction for Soft Robotic System Development,Adv Intel Sys,Oct,2021
502,FEA-Based Inverse Kinematic Control: Hyperelastic Material Characterization of Self-Healing Soft Robots,IEEE RA-L,Dec,2021
503,Extended Hamilton�s principle applied to geometrically exact Kirchhoff sliding rods,J Sound Vib,Jan,2022
504,Morphological Computation in Plant Seeds for a New Generation of Self-Burial and Flying Soft Robots,Front Rob AI,Nov,2021
505,Algorithm Uses Evolution To Design Robots,IEEE Spectrum,Dec,2021
506,An Octopus-Inspired Soft Robot Uses Origami Principles,ASME,Nov,2021
507,Stretchable Shape Sensing and Computation for General Shape-Changing Robots,"Annual Rev,",Oct,2024
508,A Review of Methods and Applications for Improving Electric Driving Performance of Dielectric Elastomer,IEEE T-Dielectrics,Oct,2024
509,Paleoinspired robotics as an experimental approach to the history of life,Science,Oct,2024
510,How Do Combustions Actuate High-Speed Soft Robots?,SoRo Journal,Dec,2024
511,"Comprehensive Analysis on Design, Working, and Manufacturing of Soft Robots",Wiley,Dec,2024
512,Deep Learning Methods in Soft Robotics: Architectures and Applications,Wiley,Nov,2024
513,Design and Performance Analysis of a Single-Port Bidirectional Soft Actuator and Its Integration Into a Versatile 3-Finger Robot Gripper,IEEE Access,Dec,2024
514,Magnetic Wall-Climbing Wheels With Controllable Adhesion Reduction via Soft Magnetic Material,IEEE RA-L,Nov,2024
515,Serially Coupled Self-Excited Pneumatic Actuator for Environment-Adaptive Steering Robot,IEEE RA-L,Oct,2024
516,"Multiple-Connected Variable Outer Diameter Pigs Using Pneumatic Artificial Muscle for Inspecting Narrow and Complex Pipeline, Including Many Bend Pipes",IEEE RA-L,Oct,2024
517,Magnetic kirigami dome metasheet with high deformability and stiffness for adaptive dynamic shape-shifting and multimodal manipulation,Science,Dec,2024
518,Granular metamaterials with dynamic bond reconfiguration,Science,Dec,2024
519,Heterogeneous multiple soft millirobots in three-dimensional lumens,Science,Nov,2024
520,Self-healing actuatable electroluminescent fibres,Nature,Dec,2024
521,A Novel Pneudraulic Actuation Method to Enhance Soft Robot Control,SoRo Journal,Dec,2024
522,A Rolling Soft Robot Driven by Local Snap-Through Buckling,SoRo Journal,Dec,2024
523,Design and Analytical Modeling of a Dumbbell-Shaped Balloon Anchoring Actuator for Safe and Efficient Locomotion Inside Gastrointestinal Tract,SoRo Journal,Dec,2024
524,Perceptually Inspired C0-Continuity Haptic Shape Display with Trichamber Soft Actuators,SoRo Journal,Dec,2024
525,A Reconfigurable Soft Linkage Robot via Internal �Virtual� Joints,SoRo Journal,Dec,2024
526,Reconfigurable origami with variable stiffness joints for adaptive robotic locomotion and grasping,Royal Society,Oct,2024
527,A Motion-Sensing Integrated Soft Robot with Triboelectric Nanogenerator for Pipeline Inspection,Wiley,Dec,2024
528,Modular Stimuli-Responsive Valves for Pneumatic Soft Robots,Wiley,Dec,2024
529,MXene Hydrogels for Soft Multifunctional Sensing: A Synthesis-Centric Review,Wiley,Nov,2024
530,Hierarchically Reconfigurable Soft Robots with Reprogrammable Multimodal Actuation,Wiley,Nov,2024
531,A Soft Mimic Robotic Arm Powered by Dielectric Elastomer Actuator,Wiley,Oct,2024
532,Multipole Magnetic Tactile Sensor With Super-Resolution for 3-D Pose Estimation,IEEE TIM,Dec,2024
533,Integrating Human-Like Impedance Regulation and Model-Based Approaches for Compliance Discrimination via Biomimetic Optical Tactile Sensors,IEEE T-RO,Dec,2024
534,Analysis of Embroidered Strain Sensors in the Presence of Dynamic Forces,IEEE Sensors,Dec,2024
535,Soft Self-Healing Damage Localization Sensor With Reduced Measuring Electrodes,IEEE Sensors,Dec,2024
536,"A Body-Scale Robotic Skin Using Distributed Multimodal Sensing Modules: Design, Evaluation, and Application",IEEE T-RO,Nov,2024
537,Fabrication and Characterization of a Soft and Stretchable Capacitive Strain Sensor for Hand Gesture Recognition,IEEE Sensors,Nov,2024
538,Honeycomb-Inspired Metamaterial for Tactile Sensors With Variable Stiffness,IEEE Sensors,Nov,2024
539,Embedded Force Sensor for Soft Robots With Deep Transformation Calibration,IEEE T-MRB,Oct,2024
540,Stiffness-tunable velvet worm�inspired soft adhesive robot,Science,Nov,2024
541,Sensing expectation enables simultaneous proprioception and contact detection in an intelligent soft continuum robot,Nature,Nov,2024
542,Flexible Electrical Energy Storage Structure with Variable Stiffness for Soft Robotics and Wearable Electronics,SoRo Journal,Dec,2024
543,Design of Compliant Components in Linkage-Driven Prosthetic Fingers: A Multi-Material Printing-Based Method,IEEE Access,Dec,2024
544,Haptiknit: Distributed stiffness knitting for wearable haptics,Science,Dec,2024
545,Activity-driven polymer knotting for macromolecular topology engineering,Science,Nov,2024
